Nazwa pliku: Data/burma14.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 3323
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
2149 ; 64 ; 3.06954 ; 79.3016 ; 
2149 ; 64 ; 3.06954 ; 75.1374 ; 
2149 ; 64 ; 3.06954 ; 72.7162 ; 
2149 ; 64 ; 3.06954 ; 75.1363 ; 
2149 ; 64 ; 3.06954 ; 73.8114 ; 
2149 ; 64 ; 3.06954 ; 76.3367 ; 
2149 ; 64 ; 3.06954 ; 73.8955 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 67.8005
Œredni wspó³czynnik b³êdu [j]:  ; 64
Œredni wspó³czynnik b³êdu [%]:  ; 3.06954
Optymalny koszt:  ; 2085

Nazwa pliku: Data/gr21.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 2707
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
Rozwi¹zania dla beta = 6
2858 ; 151 ; 5.57813 ; 115.454 ; 
2858 ; 151 ; 5.57813 ; 95.6667 ; 
2858 ; 151 ; 5.57813 ; 91.0096 ; 
2858 ; 151 ; 5.57813 ; 91.7989 ; 
2858 ; 151 ; 5.57813 ; 91.6864 ; 
2858 ; 151 ; 5.57813 ; 91.9054 ; 
2858 ; 151 ; 5.57813 ; 89.4387 ; 
2843 ; 136 ; 5.02401 ; 91.7344 ; 
2843 ; 136 ; 5.02401 ; 88.1288 ; 
2843 ; 136 ; 5.02401 ; 91.6059 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 84.6823
Œredni wspó³czynnik b³êdu [j]:  ; 146.5
Œredni wspó³czynnik b³êdu [%]:  ; 5.41189
Optymalny koszt:  ; 2707

Rozwi¹zania dla beta = 7
2868 ; 161 ; 5.94754 ; 88.8761 ; 
2868 ; 161 ; 5.94754 ; 94.1064 ; 
2868 ; 161 ; 5.94754 ; 89.8521 ; 
2868 ; 161 ; 5.94754 ; 89.734 ; 
2868 ; 161 ; 5.94754 ; 91.0536 ; 
2868 ; 161 ; 5.94754 ; 88.8457 ; 
2868 ; 161 ; 5.94754 ; 92.979 ; 
2883 ; 176 ; 6.50166 ; 97.1641 ; 
2883 ; 176 ; 6.50166 ; 91.0368 ; 
2883 ; 176 ; 6.50166 ; 87.973 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 82.3648
Œredni wspó³czynnik b³êdu [j]:  ; 165.5
Œredni wspó³czynnik b³êdu [%]:  ; 6.11378
Optymalny koszt:  ; 2707

Rozwi¹zania dla beta = 8
2868 ; 161 ; 5.94754 ; 92.6787 ; 
2868 ; 161 ; 5.94754 ; 96.6097 ; 
2868 ; 161 ; 5.94754 ; 93.5305 ; 
2868 ; 161 ; 5.94754 ; 91.3813 ; 
2868 ; 161 ; 5.94754 ; 89.8141 ; 
2868 ; 161 ; 5.94754 ; 90.7723 ; 
2868 ; 161 ; 5.94754 ; 96.634 ; 
2868 ; 161 ; 5.94754 ; 94.5473 ; 
2883 ; 176 ; 6.50166 ; 91.3671 ; 
2883 ; 176 ; 6.50166 ; 93.0328 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 83.7335
Œredni wspó³czynnik b³êdu [j]:  ; 164
Œredni wspó³czynnik b³êdu [%]:  ; 6.05837
